product_id;sku;category_id
3940;ELRX3282571;233
3940;ELRX3282571;8615
3940;ELRX3282571;8616
3940;ELRX3282571;211
3940;ELRX3282571;233
3940;ELRX3282571;8615
3940;ELRX3282571;8616
3940;ELRX3282571;211
3940;ELRX3282571;233
3940;ELRX3282571;8615
3940;ELRX3282571;8616
3942;ELLX3282573;211
3942;ELLX3282573;211
3943;ELLX3282574;211
3943;ELLX3282574;233
3943;ELLX3282574;2240
3943;ELLX3282574;2245
3943;ELLX3282574;2246
3943;ELLX3282574;8605
3943;ELLX3282574;8617
3943;ELLX3282574;8982
3943;ELLX3282574;211
3943;ELLX3282574;233
3943;ELLX3282574;2240
3943;ELLX3282574;2245
3943;ELLX3282574;2246
3943;ELLX3282574;8605
3943;ELLX3282574;8617
3943;ELLX3282574;8982
3943;ELLX3282574;211
3943;ELLX3282574;233
3943;ELLX3282574;2240
3943;ELLX3282574;2245
3943;ELLX3282574;2246
3943;ELLX3282574;8605
3943;ELLX3282574;8617
3943;ELLX3282574;8982
3943;ELLX3282574;211
3943;ELLX3282574;233
3943;ELLX3282574;2240
3943;ELLX3282574;2245
3943;ELLX3282574;2246
3943;ELLX3282574;8605
3943;ELLX3282574;8617
3943;ELLX3282574;8982
3944;ELLX3282575;211
3944;ELLX3282575;233
3944;ELLX3282575;2240
3944;ELLX3282575;2245
3944;ELLX3282575;2246
3944;ELLX3282575;8605
3944;ELLX3282575;8617
3944;ELLX3282575;8982
3944;ELLX3282575;211
3944;ELLX3282575;233
3944;ELLX3282575;2240
3944;ELLX3282575;2245
3944;ELLX3282575;2246
3944;ELLX3282575;8605
3944;ELLX3282575;8617
3944;ELLX3282575;8982
3944;ELLX3282575;211
3944;ELLX3282575;233
3944;ELLX3282575;2240
3944;ELLX3282575;2245
3944;ELLX3282575;2246
3944;ELLX3282575;8605
3944;ELLX3282575;8617
3944;ELLX3282575;8982
3944;ELLX3282575;211
3944;ELLX3282575;233
3944;ELLX3282575;2240
3944;ELLX3282575;2245
3944;ELLX3282575;2246
3944;ELLX3282575;8605
3944;ELLX3282575;8617
3944;ELLX3282575;8982
3967;ELCX3282662;211
3967;ELCX3282662;233
3967;ELCX3282662;2240
3967;ELCX3282662;2387
3967;ELCX3282662;2388
3967;ELCX3282662;2485
3967;ELCX3282662;2487
3967;ELCX3282662;8609
3967;ELCX3282662;8612
3967;ELCX3282662;10009
3967;ELCX3282662;211
3967;ELCX3282662;233
3967;ELCX3282662;2240
3967;ELCX3282662;2387
3967;ELCX3282662;2388
3967;ELCX3282662;2485
3967;ELCX3282662;2487
3967;ELCX3282662;8609
3967;ELCX3282662;8612
3967;ELCX3282662;10009
3967;ELCX3282662;211
3967;ELCX3282662;233
3967;ELCX3282662;2240
3967;ELCX3282662;2387
3967;ELCX3282662;2388
3967;ELCX3282662;2485
3967;ELCX3282662;2487
3967;ELCX3282662;8609
3967;ELCX3282662;8612
3967;ELCX3282662;10009
3967;ELCX3282662;211
3967;ELCX3282662;233
3967;ELCX3282662;2240
3967;ELCX3282662;2387
3967;ELCX3282662;2388
3967;ELCX3282662;2485
3967;ELCX3282662;2487
3967;ELCX3282662;8609
3967;ELCX3282662;8612
3967;ELCX3282662;10009
3968;ELCX3282663;211
3968;ELCX3282663;233
3968;ELCX3282663;2240
3968;ELCX3282663;2387
3968;ELCX3282663;2388
3968;ELCX3282663;2485
3968;ELCX3282663;2487
3968;ELCX3282663;8609
3968;ELCX3282663;8612
3968;ELCX3282663;10009
3968;ELCX3282663;211
3968;ELCX3282663;233
3968;ELCX3282663;2240
3968;ELCX3282663;2387
3968;ELCX3282663;2388
3968;ELCX3282663;2485
3968;ELCX3282663;2487
3968;ELCX3282663;8609
3968;ELCX3282663;8612
3968;ELCX3282663;10009
3968;ELCX3282663;211
3968;ELCX3282663;233
3968;ELCX3282663;2240
3968;ELCX3282663;2387
3968;ELCX3282663;2388
3968;ELCX3282663;2485
3968;ELCX3282663;2487
3968;ELCX3282663;8609
3968;ELCX3282663;8612
3968;ELCX3282663;10009
3968;ELCX3282663;211
3968;ELCX3282663;233
3968;ELCX3282663;2240
3968;ELCX3282663;2387
3968;ELCX3282663;2388
3968;ELCX3282663;2485
3968;ELCX3282663;2487
3968;ELCX3282663;8609
3968;ELCX3282663;8612
